va,vb,job,backend,shots,qtype,qubits,version,time,win_rate,Device
0,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8271484375,Hanoi
1,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.830078125,Hanoi
2,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.83984375,Hanoi
3,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8466796875,Hanoi
4,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8369140625,Hanoi
5,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8203125,Hanoi
6,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8134765625,Hanoi
7,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8349609375,Hanoi
8,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8154296875,Hanoi
9,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8330078125,Hanoi
10,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8427734375,Hanoi
11,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8388671875,Hanoi
12,12,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.818359375,Hanoi
13,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.802734375,Hanoi
0,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.931640625,Hanoi
0,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.98046875,Hanoi
0,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9404296875,Hanoi
0,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.953125,Hanoi
1,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9345703125,Hanoi
1,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.921875,Hanoi
1,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.931640625,Hanoi
2,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.96484375,Hanoi
2,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.943359375,Hanoi
3,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.935546875,Hanoi
3,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.943359375,Hanoi
3,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9287109375,Hanoi
4,12,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9267578125,Hanoi
4,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9482421875,Hanoi
5,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9677734375,Hanoi
5,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9501953125,Hanoi
5,12,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9443359375,Hanoi
6,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9580078125,Hanoi
6,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.943359375,Hanoi
7,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9287109375,Hanoi
7,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.947265625,Hanoi
7,12,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9462890625,Hanoi
8,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9345703125,Hanoi
8,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.94140625,Hanoi
13,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9296875,Hanoi
13,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9775390625,Hanoi
13,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.92578125,Hanoi
13,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9443359375,Hanoi
13,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.943359375,Hanoi
13,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9482421875,Hanoi
13,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9228515625,Hanoi
13,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9443359375,Hanoi
13,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9619140625,Hanoi
13,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.927734375,Hanoi
13,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.95703125,Hanoi
13,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.955078125,Hanoi
13,12,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9453125,Hanoi
1,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9404296875,Hanoi
2,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9619140625,Hanoi
4,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9609375,Hanoi
3,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9521484375,Hanoi
2,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9306640625,Hanoi
5,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9384765625,Hanoi
6,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9345703125,Hanoi
7,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9541015625,Hanoi
8,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.947265625,Hanoi
4,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9365234375,Hanoi
10,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9375,Hanoi
11,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9541015625,Hanoi
12,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.939453125,Hanoi
9,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9306640625,Hanoi
6,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9677734375,Hanoi
11,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9384765625,Hanoi
12,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9541015625,Hanoi
9,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.953125,Hanoi
10,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9580078125,Hanoi
8,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9248046875,Hanoi
10,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.939453125,Hanoi
12,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9423828125,Hanoi
9,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9375,Hanoi
11,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.94921875,Hanoi
0,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9248046875,Hanoi
1,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.95703125,Hanoi
2,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.923828125,Hanoi
3,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9423828125,Hanoi
4,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.93359375,Hanoi
5,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9443359375,Hanoi
6,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.94140625,Hanoi
7,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.951171875,Hanoi
8,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.94921875,Hanoi
9,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9375,Hanoi
10,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.939453125,Hanoi
11,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.935546875,Hanoi
12,13,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Edge,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.9423828125,Hanoi
